#Selection name: Selection 2
#Area (µm^2): 543278.19
Cell ID,Cluster,Transcripts,Area (µm^2)
cencimpo-1,Cluster 1,0,48.93
cekplhhg-1,Cluster 1,0,86.95
cdefmnbp-1,Cluster 1,0,44.89
aanlfcog-1,Cluster 1,0,72.68
cdmfidkl-1,Cluster 18,0,103.56
cdmhpohl-1,Cluster 6,0,62.17
cdmkajlb-1,Cluster 19,0,40.85
dedpbcbh-1,Cluster 6,0,51.24
cdmohmpg-1,Cluster 1,0,42.61
cdmjocpf-1,Cluster 18,0,103.79
cdnampae-1,Cluster 18,0,135.28
dedlhicp-1,Cluster 18,0,181.33
cdlbkjmg-1,Cluster 16,0,28.18
cdehbhlc-1,Cluster 1,0,99.18
cdighjge-1,Cluster 1,0,60.65
cddnanfl-1,Cluster 1,0,43.53
cddmpokf-1,Cluster 18,0,66.33
cddgapfm-1,Cluster 15,0,24.76
cdejgibi-1,Cluster 1,0,63.47
cddijgdf-1,Cluster 1,0,30.78
cddifejd-1,Cluster 5,0,64.23
cdehkjpd-1,Cluster 1,0,55.93
cddibipd-1,Cluster 1,0,60.13
cdehkbgm-1,Cluster 15,0,29.51
cdfgejkn-1,Cluster 12,0,55.95
npajbdml-1,Cluster 6,0,19.37
cddgpjcg-1,Cluster 3,0,43.43
cddgjafo-1,Cluster 18,0,88.28
cddiojcg-1,Cluster 1,0,84.82
deagbfec-1,Cluster 8,0,27.40
deihfomp-1,Cluster 6,0,17.09
ccggmbnl-1,Cluster 26,0,99.02
ccgkneng-1,Cluster 7,0,116.03
ccgkkpdh-1,Cluster 7,0,126.39
dejenaoj-1,Cluster 1,0,62.79
deioiobl-1,Cluster 26,0,94.90
deinpmaj-1,Cluster 7,0,228.37
deajdmjb-1,Cluster 5,0,86.60
deakpomb-1,Cluster 3,0,56.23
deagkffo-1,Cluster 8,0,49.74
npobdbgd-1,Cluster 8,0,44.18
deafdnde-1,Cluster 18,0,84.39
npoalbnn-1,Cluster 19,0,83.32
ccjfldio-1,Cluster 26,0,123.83
dehojdml-1,Cluster 1,0,64.72
deadpeno-1,Cluster 1,0,88.92
deaeinbh-1,Cluster 6,0,16.05
npoleeab-1,Cluster 8,0,85.63
deaedmee-1,Cluster 7,0,96.50
debaacmb-1,Cluster 19,0,26.16
nponkhap-1,Cluster 15,0,66.86
dejdmeof-1,Cluster 1,0,56.03
deakecfp-1,Cluster 26,0,90.70
deahgkde-1,Cluster 7,0,127.25
dealkiap-1,Cluster 6,0,41.22
deaoflmb-1,Cluster 7,0,23.73
dejakngc-1,Cluster 1,0,60.44
ccfonomg-1,Cluster 6,0,83.55
cchaphml-1,Cluster 7,0,139.29
cchcoppe-1,Cluster 7,0,96.79
cchcnoln-1,Cluster 26,0,65.73
nophmbli-1,Cluster 6,0,83.48
cchihghi-1,Cluster 7,0,105.56
ccggkcpl-1,Cluster 7,0,88.19
cchjlcid-1,Cluster 1,0,54.61
cchjpkjj-1,Cluster 7,0,98.91
ccgfkgkc-1,Cluster 1,0,48.92
ccgfhcka-1,Cluster 6,0,45.34
ccgobcjl-1,Cluster 7,0,75.78
ccgdnnak-1,Cluster 1,0,70.94
ccfnnhnb-1,Cluster 3,0,39.80
cccmghci-1,Cluster 7,0,76.92
cccnefld-1,Cluster 1,0,66.24
ccfpjlhp-1,Cluster 7,0,190.39
cchbhhem-1,Cluster 3,0,48.82
ccfnmjpo-1,Cluster 7,0,128.16
nophnlco-1,Cluster 12,0,14.05
cchckklf-1,Cluster 7,0,113.14
ccgdifdp-1,Cluster 1,0,38.27
cchakepf-1,Cluster 7,0,96.71
cchabjha-1,Cluster 7,0,237.50
cchdhkdb-1,Cluster 26,0,103.04
ccjnhmkg-1,Cluster 7,0,160.11
cchgghhk-1,Cluster 7,0,32.06
ccjomlcn-1,Cluster 7,0,104.66
ccjfhdlk-1,Cluster 7,0,136.14
ccjfbedf-1,Cluster 1,0,72.90
