#Selection name: Selection 2
#Area (µm^2): 543278.19
Cell ID,Cluster,Transcripts,Area (µm^2)
cchdmpih-1,Cluster 1,0,42.99
cchfaaoa-1,Cluster 26,0,106.89
ccgpfkkn-1,Cluster 7,0,62.57
ccjklmeo-1,Cluster 1,0,52.89
ccjnffmh-1,Cluster 1,0,44.73
ccjlknia-1,Cluster 12,0,66.34
ccjhjmgf-1,Cluster 3,0,42.84
ccealbce-1,Cluster 8,0,31.73
ccfkjgii-1,Cluster 26,0,43.64
ccdalmml-1,Cluster 1,0,40.17
ccgbojgh-1,Cluster 7,0,110.64
cchmdben-1,Cluster 1,0,40.26
nophhdge-1,Cluster 3,0,37.54
ccfmopmk-1,Cluster 1,0,68.85
cchnggah-1,Cluster 8,0,14.06
nopiajoo-1,Cluster 3,0,133.90
ccfpobjp-1,Cluster 1,0,68.25
ccfnjfmo-1,Cluster 3,0,64.87
ccfmkgom-1,Cluster 7,0,132.27
ccflfenk-1,Cluster 7,0,95.92
ccgahljn-1,Cluster 7,0,98.98
cdbobeec-1,Cluster 1,0,52.64
cdjoeool-1,Cluster 3,0,68.82
dedgcjod-1,Cluster 1,0,50.47
cdjdmlmf-1,Cluster 5,0,59.87
dedajnle-1,Cluster 1,0,59.38
cfcjgkoa-1,Cluster 3,0,57.80
deahipmb-1,Cluster 1,0,69.05
dedafdhp-1,Cluster 1,0,64.50
npohekpo-1,Cluster 12,0,21.17
cdjciccp-1,Cluster 19,0,30.11
cdjejhne-1,Cluster 18,0,120.50
cdjbihoa-1,Cluster 25,0,94.43
npalhanl-1,Cluster 3,0,100.33
cdmocglo-1,Cluster 13,0,69.21
cdnbmiae-1,Cluster 3,0,70.36
cdmklcdf-1,Cluster 13,0,42.63
npaoclik-1,Cluster 6,0,30.11
dedielak-1,Cluster 8,0,47.39
cdjjmpof-1,Cluster 15,0,17.91
ccimfned-1,Cluster 7,0,120.04
cdjnegme-1,Cluster 1,0,53.35
ccijcnfo-1,Cluster 7,0,75.71
ccikgcbj-1,Cluster 7,0,96.64
cdjfpmig-1,Cluster 1,0,69.86
cdjnjdki-1,Cluster 18,0,58.51
cdjfcgpk-1,Cluster 1,0,81.95
ccikmpib-1,Cluster 7,0,27.32
cdjklnfn-1,Cluster 18,0,80.78
ccijipdp-1,Cluster 13,0,71.41
ccigplal-1,Cluster 1,0,55.86
ccigfkoc-1,Cluster 1,0,87.16
dedgdfeb-1,Cluster 7,0,192.30
cdeaigjd-1,Cluster 14,0,77.56
cddfolnp-1,Cluster 15,0,40.48
npahedpg-1,Cluster 3,0,32.52
cddfdhgi-1,Cluster 6,0,71.91
cddoihoi-1,Cluster 6,0,56.05
cddlkccn-1,Cluster 1,0,52.10
cddcekie-1,Cluster 16,0,47.14
cdjdaleo-1,Cluster 18,0,216.48
cddldhkf-1,Cluster 21,0,72.04
cddkjjep-1,Cluster 6,0,37.79
cdmhpgmp-1,Cluster 19,0,38.50
npahckph-1,Cluster 1,0,48.59
cddklbca-1,Cluster 14,0,21.35
cdmdaffk-1,Cluster 18,0,94.26
cdmgkabi-1,Cluster 18,0,143.42
cddkkikj-1,Cluster 18,0,95.47
cdchgehg-1,Cluster 18,0,104.99
celcgalb-1,Cluster 7,0,168.12
cdcidkhd-1,Cluster 12,0,52.03
celchaod-1,Cluster 3,0,56.67
cdcldclo-1,Cluster 1,0,59.29
cdcljpaf-1,Cluster 18,0,181.96
cdiplchg-1,Cluster 1,0,60.96
cddpndad-1,Cluster 18,0,118.27
cdjacacl-1,Cluster 6,0,37.82
cdclgegj-1,Cluster 15,0,57.08
cdiplonl-1,Cluster 15,0,30.00
cddbcilh-1,Cluster 18,0,82.42
cddniknd-1,Cluster 3,0,60.86
cdebiokk-1,Cluster 18,0,106.32
cekpkhjb-1,Cluster 7,0,109.29
ccjbjmdm-1,Cluster 7,0,44.94
ccjbjebn-1,Cluster 6,0,16.15
ccifkfhh-1,Cluster 7,0,60.83
nopiipam-1,Cluster 3,0,140.87
celgkedl-1,Cluster 7,0,193.82
cckadpdl-1,Cluster 3,0,34.84
ccijfhfk-1,Cluster 7,0,54.28
cellemal-1,Cluster 1,0,65.07
ccipeihe-1,Cluster 3,0,86.16
ccjfkiik-1,Cluster 7,0,91.66
ccinljme-1,Cluster 7,0,53.20
cdjgehpp-1,Cluster 7,0,129.49
celbeoje-1,Cluster 6,0,44.11
celdclno-1,Cluster 15,0,33.52
ccifpfco-1,Cluster 7,0,102.99
ccjioagm-1,Cluster 7,0,133.14
ccinodll-1,Cluster 7,0,107.25
celeanbi-1,Cluster 7,0,165.67
nopkcepj-1,Cluster 6,0,170.74
celkaipp-1,Cluster 25,0,82.80
ccicchgf-1,Cluster 7,0,102.85
ccifkioc-1,Cluster 7,0,91.94
cellpdnk-1,Cluster 13,0,15.75
ccifeocm-1,Cluster 3,0,66.54
nopdipoh-1,Cluster 3,0,180.00
celndojc-1,Cluster 7,0,89.06
ccibljnj-1,Cluster 7,0,23.24
ccibijhp-1,Cluster 7,0,58.76
ccibmiih-1,Cluster 7,0,83.90
ccjdcann-1,Cluster 7,0,46.26
celhnalp-1,Cluster 8,0,29.68
cemdkkim-1,Cluster 7,0,221.17
npdadfkl-1,Cluster 15,0,211.19
celehijh-1,Cluster 7,0,103.38
cemfmfna-1,Cluster 7,0,171.81
cemhlfpb-1,Cluster 6,0,73.78
cencgebi-1,Cluster 1,0,50.40
cdbnphpb-1,Cluster 18,0,89.89
cembmfjc-1,Cluster 1,0,61.38
cdcchjmg-1,Cluster 1,0,29.08
cemdgggk-1,Cluster 7,0,190.02
cdccddod-1,Cluster 1,0,54.28
cdcdnchd-1,Cluster 15,0,36.50
cdcanaab-1,Cluster 5,0,54.44
cemflcjp-1,Cluster 6,0,33.36
cfbongda-1,Cluster 3,0,40.72
cfbolklg-1,Cluster 7,0,155.58
npddkhjc-1,Cluster 6,0,255.71
celnfgkd-1,Cluster 1,0,68.02
cfcadhef-1,Cluster 15,0,24.96
cfbpobgk-1,Cluster 7,0,173.03
cemnalce-1,Cluster 1,0,68.52
cemaaihp-1,Cluster 1,0,62.98
npcpbcfo-1,Cluster 6,0,215.90
cemhnohc-1,Cluster 1,0,28.91
celobpem-1,Cluster 13,0,70.73
cemifjjg-1,Cluster 7,0,59.75
celighka-1,Cluster 3,0,59.79
cemgeaeg-1,Cluster 7,0,25.41
ccfffmpb-1,Cluster 8,0,11.85
ccdijeni-1,Cluster 3,0,30.43
ccdedmpn-1,Cluster 7,0,42.78
nonnklkf-1,Cluster 6,0,180.01
ccdiddfd-1,Cluster 8,0,33.32
cbdfidia-1,Cluster 7,0,148.68
ccdgdbbh-1,Cluster 1,0,62.13
ccdefpmk-1,Cluster 3,0,70.03
cccjpilf-1,Cluster 7,0,84.24
ccfaogih-1,Cluster 3,0,60.61
ccfacagf-1,Cluster 6,0,67.64
ccemmfhn-1,Cluster 1,0,60.53
ccfkkffi-1,Cluster 7,0,145.31
ccgdoomn-1,Cluster 21,0,51.25
ccemjabk-1,Cluster 1,0,54.51
ccgdkifj-1,Cluster 21,0,35.41
ccgekcbb-1,Cluster 16,0,34.00
ccfjgnne-1,Cluster 7,0,104.59
ccelpfah-1,Cluster 12,0,78.36
nopccdbj-1,Cluster 3,0,203.20
nopdfbdp-1,Cluster 3,0,117.84
ccepobjo-1,Cluster 1,0,46.07
cccomfch-1,Cluster 12,0,32.29
cccneobj-1,Cluster 7,0,134.82
ccdjbgdk-1,Cluster 1,0,59.02
ccdhnfhi-1,Cluster 7,0,131.14
ccfcdkad-1,Cluster 7,0,142.37
cccolnpe-1,Cluster 1,0,96.93
cccpkkgl-1,Cluster 8,0,14.50
ccejmogi-1,Cluster 7,0,110.20
nopfoikb-1,Cluster 6,0,157.29
ccdlaaba-1,Cluster 7,0,39.07
ccehiojl-1,Cluster 3,0,51.79
ccddabhg-1,Cluster 7,0,239.51
ccddnfkf-1,Cluster 7,0,91.44
cceonbam-1,Cluster 3,0,54.24
ccegcljc-1,Cluster 7,0,142.81
nogcnpaf-1,Cluster 3,0,83.78
ccelbeef-1,Cluster 7,0,167.06
ccfbapjn-1,Cluster 7,0,106.72
ccfbmfef-1,Cluster 7,0,136.61
ccffjhgl-1,Cluster 3,0,38.63
nopffeja-1,Cluster 6,0,16.57
bjpbbahi-1,Cluster 7,0,152.63
cfakmjfn-1,Cluster 1,0,62.42
cfckjegd-1,Cluster 1,0,63.42
cfannloj-1,Cluster 16,0,40.05
cceamhhj-1,Cluster 19,0,11.47
cfamneoe-1,Cluster 6,0,51.20
ccdpjhja-1,Cluster 6,0,54.88
cfankibk-1,Cluster 15,0,18.28
cceapebi-1,Cluster 5,0,92.96
ccedfgki-1,Cluster 7,0,79.70
ccdndlpd-1,Cluster 6,0,68.70
nopfcgmm-1,Cluster 3,0,222.65
cfanihnm-1,Cluster 7,0,79.58
ccicmjco-1,Cluster 7,0,70.33
cchlfplg-1,Cluster 7,0,98.21
cchogcfc-1,Cluster 1,0,86.93
cfcinpfb-1,Cluster 7,0,143.41
cciccnje-1,Cluster 7,0,145.16
cchojkkc-1,Cluster 1,0,97.08
ccdoglcd-1,Cluster 1,0,26.15
cfbfmpie-1,Cluster 7,0,114.33
cfbdhbcg-1,Cluster 1,0,56.21
ccfdlhii-1,Cluster 3,0,67.93
cfanldck-1,Cluster 7,0,147.99
ccfdgadb-1,Cluster 7,0,72.29
cfbhecdk-1,Cluster 1,0,52.09
ccdnbknf-1,Cluster 13,0,61.63
cfbgibea-1,Cluster 1,0,31.02
ccdobekf-1,Cluster 1,0,71.45
ccedfidb-1,Cluster 1,0,35.45
ccedmgkf-1,Cluster 7,0,120.21
ccefpmbb-1,Cluster 7,0,107.13
cfaljiai-1,Cluster 3,0,49.41
cfcchkjk-1,Cluster 26,0,81.12
cfcammpe-1,Cluster 12,0,45.66
cfbnpkbf-1,Cluster 7,0,111.15
cfapomdl-1,Cluster 1,0,59.23
npddjlni-1,Cluster 3,0,122.61
cfciepkm-1,Cluster 1,0,84.25
cfbpamei-1,Cluster 7,0,162.84
cfblabca-1,Cluster 1,0,72.10
cfbmnggb-1,Cluster 6,0,27.15
ceidcacc-1,Cluster 7,0,97.53
cfcghmmk-1,Cluster 7,0,97.29
cfbmaloc-1,Cluster 6,0,33.03
cfcfjikk-1,Cluster 7,0,40.75
cfbojlkg-1,Cluster 7,0,113.19
cfbpkgoe-1,Cluster 7,0,61.82
cekpgfmk-1,Cluster 1,0,117.36
cfbapmhm-1,Cluster 7,0,43.79
cfbajopb-1,Cluster 6,0,26.69
cfbbijkp-1,Cluster 8,0,17.12
npckjahk-1,Cluster 3,0,183.00
cfblkfhp-1,Cluster 7,0,147.50
cfbjehik-1,Cluster 12,0,27.09
ceikhcnc-1,Cluster 7,0,141.05
cfbkanad-1,Cluster 7,0,150.66
cfccnpoe-1,Cluster 7,0,62.06
ceiemibh-1,Cluster 7,0,101.01
cfcbokej-1,Cluster 1,0,48.75
cfbojkim-1,Cluster 15,0,20.39
cfapcfch-1,Cluster 7,0,58.75
cfbilinf-1,Cluster 1,0,96.41
edhcelon-1,Cluster 7,0,240.32
eeblokhi-1,Cluster 16,0,89.75
bjnpaaif-1,Cluster 7,0,62.69
eecechdh-1,Cluster 6,0,17.66
bjnnnhmd-1,Cluster 7,0,85.84
bjoblbao-1,Cluster 7,0,111.62
ccfdomhj-1,Cluster 1,0,38.66
bjobonap-1,Cluster 7,0,153.87
ccffjlob-1,Cluster 8,0,22.69
eebhlnbg-1,Cluster 1,0,71.19
edhcfeec-1,Cluster 7,0,125.74
eedanoak-1,Cluster 13,0,47.74
eedaecfl-1,Cluster 1,0,50.89
cfbiikjl-1,Cluster 7,0,83.70
ccfhicgi-1,Cluster 7,0,113.37
eecdgake-1,Cluster 7,0,149.67
cfalbakg-1,Cluster 3,0,47.64
eedbkjae-1,Cluster 1,0,57.59
bjocmgno-1,Cluster 6,0,31.90
eeclakel-1,Cluster 1,0,72.68
eecfagca-1,Cluster 16,0,43.53
eedbhgnk-1,Cluster 5,0,108.83
eecghmcf-1,Cluster 6,0,46.53
eedcjbci-1,Cluster 1,0,45.27
eecekaek-1,Cluster 12,0,57.48
eedkjkog-1,Cluster 7,0,133.92
obgbnmcg-1,Cluster 3,0,92.90
eedjedbk-1,Cluster 7,0,110.96
eedjfaap-1,Cluster 6,0,31.50
eefkleib-1,Cluster 7,0,79.39
edhhimio-1,Cluster 3,0,32.59
edhcmjkf-1,Cluster 1,0,46.31
edheclek-1,Cluster 6,0,47.47
edhdcblm-1,Cluster 1,0,98.27
edhelbii-1,Cluster 26,0,65.04
cfaldkpn-1,Cluster 6,0,33.95
cfalceko-1,Cluster 7,0,131.76
cejkilkj-1,Cluster 7,0,122.65
edhfjiid-1,Cluster 7,0,85.61
obfdaeic-1,Cluster 12,0,77.21
eefifhek-1,Cluster 7,0,124.80
eedoblil-1,Cluster 7,0,111.65
eeffhlcl-1,Cluster 15,0,19.22
eefjbcid-1,Cluster 7,0,167.18
eefjbioh-1,Cluster 15,0,30.31
eecbmfnl-1,Cluster 3,0,58.98
eedholml-1,Cluster 15,0,20.92
eednolpg-1,Cluster 1,0,55.52
eefngafj-1,Cluster 7,0,136.38
eeflfnlg-1,Cluster 6,0,95.56
eeflcedh-1,Cluster 3,0,59.46
eedkpjhh-1,Cluster 7,0,142.98
eefkijbe-1,Cluster 7,0,48.24
eeboekib-1,Cluster 6,0,38.79
eeecdled-1,Cluster 12,0,38.14
eeeddcmb-1,Cluster 1,0,58.48
eeeeogln-1,Cluster 15,0,37.78
obglofdd-1,Cluster 15,0,12.68
jmgnjfbl-1,Cluster 1,0,33.67
ceobalhe-1,Cluster 1,0,34.93
cefhlfph-1,Cluster 15,0,13.51
ceoglpne-1,Cluster 1,0,46.31
ceejjnid-1,Cluster 16,0,43.59
ceoenkdj-1,Cluster 15,0,19.88
ceejelhh-1,Cluster 12,0,65.99
cdfleeop-1,Cluster 1,0,47.27
ceepghcl-1,Cluster 1,0,60.26
ceooceob-1,Cluster 1,0,76.52
ceoncdab-1,Cluster 1,0,54.89
cdflabnm-1,Cluster 1,0,43.49
ceepkabd-1,Cluster 3,0,30.74
ceepemgh-1,Cluster 8,0,16.67
ceenknjk-1,Cluster 1,0,53.12
cenogoap-1,Cluster 1,0,71.05
cdfkjhoj-1,Cluster 15,0,22.34
ceemeekg-1,Cluster 6,0,43.99
ceelmnjd-1,Cluster 1,0,36.06
cdecgloi-1,Cluster 1,0,106.92
ceoohaci-1,Cluster 1,0,40.14
ceomppni-1,Cluster 16,0,39.80
ceendekh-1,Cluster 1,0,72.76
cepanpcl-1,Cluster 1,0,53.85
ceelgeae-1,Cluster 1,0,42.54
ceodghbp-1,Cluster 1,0,65.74
cdfjfmbp-1,Cluster 15,0,13.41
cenoccep-1,Cluster 13,0,63.39
cdfgdbnd-1,Cluster 15,0,27.36
cefkglid-1,Cluster 1,0,123.73
chdkodee-1,Cluster 1,0,33.66
cefmjhkj-1,Cluster 1,0,91.24
chdjmjip-1,Cluster 15,0,33.61
ceflemef-1,Cluster 1,0,58.95
cefieabn-1,Cluster 1,0,80.48
chdjiole-1,Cluster 1,0,53.93
cecoakpc-1,Cluster 1,0,40.70
chdjkikn-1,Cluster 1,0,51.00
cefokffj-1,Cluster 1,0,64.84
cecpcmpg-1,Cluster 13,0,42.62
chdgpabj-1,Cluster 6,0,54.44
cecoobea-1,Cluster 3,0,65.50
chdgnmop-1,Cluster 3,0,57.62
chdcgobb-1,Cluster 1,0,54.29
ceeglpgd-1,Cluster 1,0,59.06
chddjbkd-1,Cluster 1,0,55.49
cegeghoc-1,Cluster 1,0,41.87
cegdfoop-1,Cluster 1,0,78.65
npapdfpe-1,Cluster 6,0,182.85
cefonfnm-1,Cluster 1,0,47.61
cegeifnj-1,Cluster 8,0,29.67
cegfnpik-1,Cluster 15,0,44.59
cegbgaec-1,Cluster 1,0,57.02
cegbchac-1,Cluster 16,0,51.15
cegeabgk-1,Cluster 13,0,84.54
cefpffnd-1,Cluster 1,0,49.40
cegdkkna-1,Cluster 1,0,59.20
jncialph-1,Cluster 6,0,114.48
cgkdlglh-1,Cluster 1,0,42.61
chelkgle-1,Cluster 1,0,51.46
cgppilbm-1,Cluster 8,0,10.99
chemennl-1,Cluster 1,0,61.99
cgkcnmeg-1,Cluster 1,0,41.08
chejkcma-1,Cluster 5,0,89.87
jncpgfhe-1,Cluster 3,0,63.74
cgkdkeee-1,Cluster 3,0,47.17
cgkdfmah-1,Cluster 1,0,54.13
cglelgeb-1,Cluster 1,0,47.59
cheaelhk-1,Cluster 1,0,58.13
chdoglcc-1,Cluster 1,0,52.42
cgjpjfdb-1,Cluster 1,0,43.68
chdlmmli-1,Cluster 1,0,59.84
chdocldh-1,Cluster 3,0,85.08
chdmahcl-1,Cluster 6,0,55.10
chemphhj-1,Cluster 1,0,70.57
chenkkad-1,Cluster 1,0,49.40
cheocabm-1,Cluster 1,0,85.30
cheipoln-1,Cluster 3,0,83.01
cheibbbf-1,Cluster 1,0,57.11
chenlcoa-1,Cluster 1,0,52.31
cgleopjh-1,Cluster 1,0,61.78
chdlmpcn-1,Cluster 1,0,51.84
cgjokikg-1,Cluster 1,0,59.02
chdmfbfh-1,Cluster 1,0,117.92
npepaajh-1,Cluster 8,0,94.94
chebdccc-1,Cluster 1,0,46.30
cgliochg-1,Cluster 1,0,58.57
cglidife-1,Cluster 1,0,59.68
npeobgdp-1,Cluster 8,0,74.62
cglglnbo-1,Cluster 1,0,81.55
chfempcj-1,Cluster 1,0,94.12
chfaacga-1,Cluster 1,0,42.98
chepdfhl-1,Cluster 1,0,46.26
chddkgfg-1,Cluster 13,0,65.31
chfcdkee-1,Cluster 6,0,68.54
chffbmgc-1,Cluster 1,0,69.12
cheakboh-1,Cluster 1,0,30.88
chddmkdp-1,Cluster 13,0,35.73
cglbemkg-1,Cluster 1,0,62.89
cgkkofjg-1,Cluster 6,0,68.99
jnbfjlil-1,Cluster 5,0,156.98
npebdgbo-1,Cluster 25,0,167.72
cgkfhgnp-1,Cluster 3,0,41.72
cgkjhnik-1,Cluster 1,0,62.86
jnbfaeej-1,Cluster 25,0,60.52
cgkeeopj-1,Cluster 1,0,75.57
jnaogioc-1,Cluster 8,0,17.19
jnaneamh-1,Cluster 1,0,63.91
cgkbnlbc-1,Cluster 1,0,54.95
cgjpbope-1,Cluster 1,0,54.07
cgkekinc-1,Cluster 12,0,53.77
npecffoa-1,Cluster 6,0,18.30
jnbglgdc-1,Cluster 5,0,73.88
cgldhfja-1,Cluster 1,0,57.78
jnakilpb-1,Cluster 15,0,18.22
cglcbllp-1,Cluster 3,0,95.32
cgldoofd-1,Cluster 1,0,52.51
cgkidfoo-1,Cluster 6,0,44.22
npeblpec-1,Cluster 6,0,93.36
jnbaacjk-1,Cluster 1,0,61.55
jnbdmidm-1,Cluster 1,0,58.36
jnajdkjn-1,Cluster 1,0,40.81
jnbgbmba-1,Cluster 15,0,27.45
jnaiehmm-1,Cluster 15,0,7.83
jnakaihn-1,Cluster 15,0,10.95
cgkimcbf-1,Cluster 1,0,78.29
jnbgiedp-1,Cluster 15,0,33.18
cdnjgedb-1,Cluster 8,0,6.74
cfaahfpd-1,Cluster 18,0,126.79
cepgmmlp-1,Cluster 12,0,16.78
cdcnlgef-1,Cluster 18,0,130.28
cepiichi-1,Cluster 15,0,17.15
cepgibgg-1,Cluster 1,0,56.80
cdcmljjg-1,Cluster 1,0,37.25
cepejhkb-1,Cluster 1,0,48.30
cdeeollo-1,Cluster 1,0,47.41
cdedbedi-1,Cluster 1,0,69.19
cdebcedn-1,Cluster 1,0,48.95
cdebmiof-1,Cluster 1,0,102.20
npdcbhfh-1,Cluster 15,0,159.95
cepccgdm-1,Cluster 16,0,33.17
cdeecbjn-1,Cluster 1,0,56.24
cdedgpha-1,Cluster 1,0,74.17
cenmdehi-1,Cluster 1,0,68.18
ceoecgkc-1,Cluster 1,0,51.53
cdecpepc-1,Cluster 5,0,103.74
cepoeipn-1,Cluster 1,0,53.50
cengaooi-1,Cluster 1,0,79.75
npdbgpoh-1,Cluster 3,0,176.75
cddaehgl-1,Cluster 18,0,92.14
cdclooem-1,Cluster 15,0,31.07
cfaadhhb-1,Cluster 15,0,23.25
cepnomoe-1,Cluster 1,0,60.67
cfagline-1,Cluster 1,0,55.95
cdcecjdd-1,Cluster 1,0,51.10
cepogohc-1,Cluster 5,0,200.23
npahabai-1,Cluster 15,0,106.32
cdcgdhbm-1,Cluster 1,0,27.45
cdcoolfi-1,Cluster 1,0,58.20
cepfnmmp-1,Cluster 1,0,47.56
cdoknmim-1,Cluster 18,0,121.78
cdohdhdm-1,Cluster 1,0,58.92
cepcfgme-1,Cluster 5,0,48.45
npcaeobf-1,Cluster 15,0,84.00
cdnomlof-1,Cluster 15,0,42.18
cdnoaggd-1,Cluster 1,0,44.43
ceegifib-1,Cluster 1,0,84.71
cdohckle-1,Cluster 1,0,44.73
cepfbmco-1,Cluster 18,0,96.90
ceefnhbn-1,Cluster 15,0,26.42
cdnmhpkg-1,Cluster 1,0,61.38
cefkaooa-1,Cluster 1,0,52.42
cefkcmbg-1,Cluster 1,0,37.22
cefkbcne-1,Cluster 1,0,47.14
cdnnmcii-1,Cluster 1,0,70.24
ceeljold-1,Cluster 3,0,46.00
cdolfpen-1,Cluster 6,0,8.96
cdoldeea-1,Cluster 18,0,171.63
cepognad-1,Cluster 3,0,60.06
cdoomkgl-1,Cluster 1,0,59.69
cdpdlgnn-1,Cluster 18,0,111.14
cdomieem-1,Cluster 1,0,66.45
cdnlmpgj-1,Cluster 18,0,103.89
cdobmkld-1,Cluster 12,0,72.58
cdnknmop-1,Cluster 1,0,106.23
cdonkjig-1,Cluster 3,0,55.12
cdokkcgo-1,Cluster 18,0,107.77
cdocffjn-1,Cluster 1,0,56.40
cdohkbeg-1,Cluster 6,0,45.90
cdoldcmk-1,Cluster 25,0,76.34
cdopohlm-1,Cluster 18,0,107.78
cepjnipl-1,Cluster 1,0,49.68
cfagmcmm-1,Cluster 1,0,71.75
cfaikeon-1,Cluster 18,0,160.72
npdcicdj-1,Cluster 6,0,58.10
cfahmemb-1,Cluster 18,0,126.86
cempmjal-1,Cluster 3,0,45.16
cepinfgh-1,Cluster 18,0,94.27
cemlpmpa-1,Cluster 1,0,52.24
cemmkndn-1,Cluster 6,0,51.01
cemlpebc-1,Cluster 5,0,70.53
cenefghm-1,Cluster 15,0,26.75
cengcice-1,Cluster 15,0,20.94
ceneehcl-1,Cluster 6,0,41.39
cemlpofg-1,Cluster 7,0,175.84
cdpcnoao-1,Cluster 14,0,61.26
cepnbonh-1,Cluster 6,0,62.13
cenjofhl-1,Cluster 1,0,41.45
ceicmida-1,Cluster 7,0,159.04
cemlejoc-1,Cluster 16,0,18.83
ceibacnf-1,Cluster 7,0,23.47
cenlfdhn-1,Cluster 1,0,41.60
cenggige-1,Cluster 7,0,152.04
cenkignk-1,Cluster 1,0,64.76
cenkfjld-1,Cluster 1,0,64.02
ceiajjeo-1,Cluster 7,0,92.31
cengpgbc-1,Cluster 5,0,61.79
cenjifob-1,Cluster 5,0,34.62
cenhohhl-1,Cluster 1,0,55.14
cenhljai-1,Cluster 18,0,91.51
cepinfme-1,Cluster 1,0,55.38
cdpjgclk-1,Cluster 6,0,60.70
cdnglgmm-1,Cluster 6,0,27.93
cdpecmdk-1,Cluster 8,0,64.72
cdpgdgmo-1,Cluster 6,0,54.17
npapnmla-1,Cluster 1,0,150.60
cdpgajnk-1,Cluster 16,0,68.36
cdokbbhh-1,Cluster 18,0,167.45
cdpeohha-1,Cluster 6,0,28.44
cdnfodcg-1,Cluster 18,0,124.74
cdpjeafb-1,Cluster 6,0,17.12
cdojgnnb-1,Cluster 21,0,71.83
cdnfdnco-1,Cluster 3,0,55.58
